id,case_number,date,block,primary_type,description,location_description,latitude,longitude
14122603,JK163838,2026-02-27T00:00:00.000,023XX N WESTERN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.924348356,-87.687624607
14127318,JK169260,2026-02-27T00:00:00.000,018XX W CHICAGO AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,41.895969127,-87.673427914
14123539,JK164866,2026-02-27T00:00:00.000,085XX S CALIFORNIA AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.739125643,-87.692348774
14127412,JK169721,2026-02-27T00:00:00.000,060XX S MOODY AVE,THEFT,$500 AND UNDER,RESIDENCE,41.782630553,-87.775340193
14123737,JK165191,2026-02-27T00:00:00.000,046XX S WINCHESTER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.809497963,-87.673501841
14122483,JK163723,2026-02-27T00:00:00.000,015XX S LAWNDALE AVE,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,41.86000175,-87.717672952
14126474,JK168566,2026-02-27T00:00:00.000,001XX W OAK ST,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,41.900546929,-87.633632427
14122756,JK164075,2026-02-27T00:00:00.000,038XX N BROADWAY,THEFT,OVER $500,RESTAURANT,41.951617169,-87.649620689
14122997,JK164371,2026-02-27T00:00:00.000,045XX N CLARENDON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.963880376,-87.649971265
14124316,JK165950,2026-02-27T00:00:00.000,015XX N SEDGWICK ST,THEFT,FROM BUILDING,APARTMENT,41.910022484,-87.63855839
14124215,JK165122,2026-02-27T00:00:00.000,013XX N BELL AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE - GARAGE,41.905842379,-87.683443248
14123968,JK164701,2026-02-26T23:59:00.000,019XX W Nelson St,THEFT,OVER $500,STREET,41.936854423,-87.677089885
14122313,JK163385,2026-02-26T23:50:00.000,049XX W WABANSIA AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.911403881,-87.750203842
14122338,JK163372,2026-02-26T23:39:00.000,021XX S CHRISTIANA AVE,BATTERY,SIMPLE,RESIDENCE,41.852709765,-87.708940962
14122311,JK163425,2026-02-26T23:38:00.000,074XX S EMERALD AVE,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,STREET,41.759350961,-87.64304489
14122535,JK163663,2026-02-26T23:35:00.000,074XX W ROSEDALE AVE,BURGLARY,BURGLARY FROM MOTOR VEHICLE,RESIDENCE,41.98566269,-87.813074239
14122301,JK163363,2026-02-26T23:26:00.000,025XX W MARQUETTE RD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.771924425,-87.68675442
14122316,JK163371,2026-02-26T23:15:00.000,005XX W 117TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,41.681526142,-87.635087768
14122280,JK163359,2026-02-26T23:02:00.000,039XX W ROOSEVELT RD,BATTERY,SIMPLE,GAS STATION,41.866184544,-87.724361483
14123536,JK164908,2026-02-26T23:00:00.000,037XX S WASHTENAW AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.825293027,-87.69222748
14122370,JK163470,2026-02-26T23:00:00.000,112XX S VERNON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.690481602,-87.612093277
14122816,JK163985,2026-02-26T23:00:00.000,026XX W NORTH AVE,CRIMINAL DAMAGE,TO VEHICLE,OTHER (SPECIFY),41.910260556,-87.692715243
14122675,JK163927,2026-02-26T23:00:00.000,010XX N SPRINGFIELD AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,41.899798457,-87.723774067
14122333,JK163353,2026-02-26T23:00:00.000,025XX W 63RD ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,41.77921113,-87.686860878
14122329,JK163438,2026-02-26T23:00:00.000,068XX S CORNELL AVE,BURGLARY,UNLAWFUL ENTRY,APARTMENT,41.770917101,-87.585015112
14122265,JK163380,2026-02-26T23:00:00.000,003XX N CENTRAL AVE,THEFT,OVER $500,APARTMENT,41.886275336,-87.765078145
14123068,JK163479,2026-02-26T23:00:00.000,004XX N MILWAUKEE AVE,THEFT,OVER $500,STREET,41.890839244,-87.647055604
14122319,JK163365,2026-02-26T23:00:00.000,086XX S PHILLIPS AVE,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,41.738480671,-87.564822093
14122307,JK163358,2026-02-26T22:53:00.000,079XX S LOOMIS BLVD,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,STREET,41.74938252,-87.658561459
14122288,JK163342,2026-02-26T22:47:00.000,013XX S RACINE AVE,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,41.864702155,-87.656616008
14123135,JK164230,2026-02-26T22:45:00.000,008XX W MONROE ST,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,COMMERCIAL / BUSINESS OFFICE,41.880486341,-87.647702522
14122443,JK163453,2026-02-26T22:45:00.000,023XX S OAKLEY AVE,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,41.84989365,-87.683132652
14122277,JK163409,2026-02-26T22:40:00.000,051XX S WABASH AVE,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),41.800872825,-87.624243294
14122271,JK163347,2026-02-26T22:40:00.000,051XX W SUNNYSIDE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.962452201,-87.755687706
14122282,JK163368,2026-02-26T22:33:00.000,032XX W GRACE ST,ASSAULT,AGGRAVATED - HANDGUN,SIDEWALK,41.950271567,-87.708695559
14122367,JK163452,2026-02-26T22:30:00.000,019XX W MADISON ST,CRIMINAL TRESPASS,TO LAND,SPORTS ARENA / STADIUM,41.881348623,-87.674525788
14122300,JK163399,2026-02-26T22:30:00.000,063XX N BROADWAY,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,41.997031894,-87.6604655
14122260,JK163354,2026-02-26T22:27:00.000,070XX S SOUTH SHORE DR,CRIMINAL TRESPASS,TO LAND,APARTMENT,41.767847633,-87.566498814
14123040,JK163477,2026-02-26T22:20:00.000,0000X W Randolph St,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,41.884485451,-87.628783943
14122230,JK163330,2026-02-26T22:19:00.000,056XX S MICHIGAN AVE,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,41.792090686,-87.622396554
14122227,JK163326,2026-02-26T22:15:00.000,004XX W 61ST PL,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.782642067,-87.636272391
14122226,JK163337,2026-02-26T22:05:00.000,003XX S DEARBORN ST,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA STATION,41.877759656,-87.629287444
14122217,JK163314,2026-02-26T22:00:00.000,011XX W 63RD ST,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,41.779618724,-87.653822953
14122389,JK163549,2026-02-26T22:00:00.000,109XX S HALSTED ST,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),41.69522655,-87.642467755
14122575,JK163852,2026-02-26T22:00:00.000,078XX S CREGIER AVE,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,41.752536307,-87.580889521
14122414,JK163619,2026-02-26T22:00:00.000,029XX E 91ST ST,CRIMINAL TRESPASS,TO VEHICLE,STREET,41.730049397,-87.553305569
14122263,JK163339,2026-02-26T22:00:00.000,012XX N LEAVITT ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.903639709,-87.682157841
14122223,JK163315,2026-02-26T21:59:00.000,055XX W CORCORAN PL,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,PARKING LOT / GARAGE (NON RESIDENTIAL),41.88723623,-87.764052345
14122365,JK163343,2026-02-26T21:53:00.000,085XX S YATES BLVD,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,41.739797974,-87.566059501
14122269,JK163350,2026-02-26T21:50:00.000,026XX N LINCOLN AVE,BATTERY,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),41.929242595,-87.654078463
14122701,JK163913,2026-02-26T21:50:00.000,025XX W MONTROSE AVE,BATTERY,SIMPLE,HOSPITAL BUILDING / GROUNDS,41.961287044,-87.692796336
14123061,JK163480,2026-02-26T21:46:00.000,030XX S BONFIELD ST,THEFT,$500 AND UNDER,RESIDENCE - PORCH / HALLWAY,41.83923939,-87.653566891
14122285,JK163306,2026-02-26T21:45:00.000,092XX S COMMERCIAL AVE,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,41.727872617,-87.551207132
14123084,JK164052,2026-02-26T21:45:00.000,092XX S COMMERCIAL AVE,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",COMMERCIAL / BUSINESS OFFICE,41.727872617,-87.551207132
14122915,JK163331,2026-02-26T21:40:00.000,0000X E WACKER DR,BATTERY,SIMPLE,CONVENIENCE STORE,41.886863814,-87.626851797
14122931,JK163319,2026-02-26T21:34:00.000,001XX W WACKER DR,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.886815622,-87.631523712
14122199,JK163300,2026-02-26T21:30:00.000,013XX W MORSE AVE,BURGLARY,UNLAWFUL ENTRY,APARTMENT,42.007921364,-87.66525544
14122216,JK163322,2026-02-26T21:30:00.000,041XX W 77TH PL,ASSAULT,SIMPLE,STREET,41.752691481,-87.724779434
14122225,JK163298,2026-02-26T21:27:00.000,101XX S HALSTED ST,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,41.709971739,-87.642910529
14122268,JK163352,2026-02-26T21:21:00.000,061XX S MICHIGAN AVE,BURGLARY,HOME INVASION,APARTMENT,41.782945262,-87.622160269
14122258,JK163303,2026-02-26T21:20:00.000,013XX N LOREL AVE,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,41.90469007,-87.759731564
14122203,JK163292,2026-02-26T21:15:00.000,015XX W 99TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.713992177,-87.660960837
14122231,JK163329,2026-02-26T21:13:00.000,014XX W 15TH ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,41.861517395,-87.662453482
14123175,JK163338,2026-02-26T21:10:00.000,026XX W PERSHING RD,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),41.822860928,-87.690633793
14122246,JK163295,2026-02-26T21:09:00.000,104XX S FOREST AVE,BURGLARY,HOME INVASION,RESIDENCE,41.704604493,-87.616132208
14122205,JK163289,2026-02-26T21:08:00.000,004XX S CICERO AVE,NARCOTICS,POSSESS - CRACK,ALLEY,41.874725502,-87.745055388
14122179,JK163285,2026-02-26T21:04:00.000,054XX W FERDINAND ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.888886505,-87.762039798
14124349,JK165966,2026-02-26T21:00:00.000,007XX W BELDEN AVE,THEFT,OVER $500,STREET,41.9236412,-87.648001323
14123468,JK164788,2026-02-26T21:00:00.000,081XX S ALBANY AVE,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,RESIDENCE,41.745286944,-87.699828829
14122476,JK163635,2026-02-26T21:00:00.000,050XX S PRINCETON AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,41.802714321,-87.633205102
14126445,JK168331,2026-02-26T21:00:00.000,058XX N ARTESIAN AVE,THEFT,$500 AND UNDER,OTHER (SPECIFY),41.987686085,-87.690799295
14122546,JK163787,2026-02-26T21:00:00.000,0000X W SCHILLER ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,41.907842927,-87.631234669
14122624,JK163548,2026-02-26T21:00:00.000,045XX N KILBOURN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.963468369,-87.741301925
14126806,JK168853,2026-02-26T21:00:00.000,040XX S MONTGOMERY AVE,THEFT,OVER $500,RESIDENCE - GARAGE,41.820101087,-87.692759865
14122256,JK163286,2026-02-26T21:00:00.000,002XX S MICHIGAN AVE,ASSAULT,SIMPLE,RESTAURANT,41.879235852,-87.624347038
14124689,JK166414,2026-02-26T21:00:00.000,035XX W IRVING PARK RD,THEFT,$500 AND UNDER,RESTAURANT,41.953812687,-87.715998923
14122215,JK163267,2026-02-26T20:51:00.000,037XX E 106TH ST,PROSTITUTION,OTHER PROSTITUTION OFFENSE,COMMERCIAL / BUSINESS OFFICE,41.70272362,-87.533648902
14122181,JK163287,2026-02-26T20:39:00.000,015XX W 69TH ST,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,STREET,41.768561722,-87.663125948
14122209,JK163269,2026-02-26T20:36:00.000,054XX S KEDZIE AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,41.794172544,-87.70357593
14122186,JK163308,2026-02-26T20:35:00.000,031XX W OHIO ST,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,SIDEWALK,41.891915276,-87.704622069
14122332,JK163448,2026-02-26T20:30:00.000,035XX S COTTAGE GROVE AVE,ASSAULT,SIMPLE,APARTMENT,41.830530933,-87.610277459
14122558,JK163701,2026-02-26T20:30:00.000,058XX W LELAND AVE,THEFT,OVER $500,RESIDENCE,41.965871846,-87.774049268
14122200,JK163305,2026-02-26T20:20:00.000,026XX W 38TH ST,BURGLARY,BURGLARY FROM MOTOR VEHICLE,STREET,41.824695984,-87.690479691
14122098,JK163246,2026-02-26T20:12:00.000,014XX N CICERO AVE,ASSAULT,SIMPLE,DEPARTMENT STORE,41.90690686,-87.746049479
14122210,JK163268,2026-02-26T20:05:00.000,045XX W CONGRESS PKWY,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.87418995,-87.738579646
14122177,JK163241,2026-02-26T20:01:00.000,073XX S LOWE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.760867844,-87.6406462
14122207,JK163254,2026-02-26T20:00:00.000,034XX W PIERCE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,41.909115977,-87.713167466
14122159,JK163262,2026-02-26T20:00:00.000,001XX W CERMAK RD,ROBBERY,ARMED - HANDGUN,CTA PLATFORM,41.852868298,-87.63091491
14122158,JK163243,2026-02-26T20:00:00.000,052XX N LINCOLN AVE,THEFT,RETAIL THEFT,GROCERY FOOD STORE,41.977017622,-87.692447486
14122185,JK163256,2026-02-26T20:00:00.000,066XX S LANGLEY AVE,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,41.774276903,-87.608248087
14122767,JK164007,2026-02-26T20:00:00.000,046XX S KEELER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.809015971,-87.728523575
14122744,JK164023,2026-02-26T20:00:00.000,006XX N FRANKLIN ST,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT / GARAGE (NON RESIDENTIAL),41.894335261,-87.635646869
14122456,JK163555,2026-02-26T20:00:00.000,001XX S LAVERGNE AVE,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,41.879187738,-87.74937318
14122524,JK163692,2026-02-26T20:00:00.000,092XX S DOBSON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,41.727164159,-87.598538995
14122201,JK163294,2026-02-26T20:00:00.000,021XX E 71ST ST,BATTERY,SIMPLE,GROCERY FOOD STORE,41.766102387,-87.573539169
14122184,JK163283,2026-02-26T20:00:00.000,036XX W LEXINGTON ST,ASSAULT,SIMPLE,STREET,41.871729015,-87.716848135
14122182,JK163239,2026-02-26T19:53:00.000,010XX W MONROE ST,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,41.880395873,-87.652793028
14122152,JK163251,2026-02-26T19:53:00.000,029XX S DEARBORN ST,CRIMINAL TRESPASS,TO LAND,APARTMENT,41.841855999,-87.628741678
14122247,JK163261,2026-02-26T19:52:00.000,105XX S RHODES AVE,ASSAULT,SIMPLE,RESIDENCE,41.70348756,-87.610003416
14122172,JK163234,2026-02-26T19:52:00.000,014XX E 70TH ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,41.767853821,-87.588716387
14122106,JK163259,2026-02-26T19:47:00.000,102XX S STATE ST,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,STREET,41.70869022,-87.623554256
14122275,JK163232,2026-02-26T19:46:00.000,047XX N CLARENDON AVE,BATTERY,"AGGRAVATED - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,41.967895809,-87.650082791
14122156,JK163189,2026-02-26T19:34:00.000,031XX W OHIO ST,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,41.891904878,-87.705731347
14122190,JK163244,2026-02-26T19:34:00.000,031XX W FIFTH AVE,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,APARTMENT,41.878530679,-87.705458306
14122308,JK163233,2026-02-26T19:32:00.000,079XX S ST LAWRENCE AVE,ASSAULT,SIMPLE,APARTMENT,41.750594093,-87.610064836
14125551,JK167362,2026-02-26T19:30:00.000,030XX N HAUSSEN CT,BURGLARY,FORCIBLE ENTRY,APARTMENT,41.936563527,-87.723372633
14122178,JK163263,2026-02-26T19:30:00.000,074XX S CLYDE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,41.759972548,-87.573677458
14122460,JK163645,2026-02-26T19:30:00.000,049XX S PAULINA ST,THEFT,$500 AND UNDER,STREET,41.803924097,-87.667279867
14122295,JK163361,2026-02-26T19:30:00.000,006XX N TRUMBULL AVE,THEFT,$500 AND UNDER,STREET,41.892644577,-87.712570228
14122166,JK163213,2026-02-26T19:30:00.000,065XX W BELMONT AVE,BATTERY,SIMPLE,SIDEWALK,41.938247021,-87.790308253
14122198,JK163266,2026-02-26T19:30:00.000,063XX S ASHLAND AVE,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,STREET,41.779012821,-87.664208692
14122195,JK163231,2026-02-26T19:24:00.000,032XX W MARQUETTE RD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,41.771656489,-87.704236124
14122234,JK163207,2026-02-26T19:22:00.000,044XX N CLARK ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,41.962180393,-87.666075428
14124382,JK166007,2026-02-26T19:16:00.000,071XX S CYRIL AVE,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,APARTMENT,41.764802087,-87.576941433
14122413,JK163573,2026-02-26T19:15:00.000,060XX N OLYMPIA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.989191042,-87.817786922
14122154,JK163193,2026-02-26T19:10:00.000,011XX S CLARK ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,41.86821682,-87.6304532
14122229,JK163205,2026-02-26T19:09:00.000,062XX S SPAULDING AVE,BATTERY,"AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY",RESIDENCE,41.779586612,-87.705577501
14122083,JK163260,2026-02-26T19:08:00.000,019XX E 71ST PL,THEFT,$500 AND UNDER,APARTMENT,41.765286035,-87.577086035
14122088,JK163200,2026-02-26T19:08:00.000,011XX W NORTH SHORE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,42.003705115,-87.659420206
14122344,JK163450,2026-02-26T19:00:00.000,045XX W 56TH ST,MOTOR VEHICLE THEFT,THEFT / RECOVERY - AUTOMOBILE,STREET,41.791259885,-87.737344685
14121976,JK163188,2026-02-26T19:00:00.000,091XX S SOUTH CHICAGO AVE,THEFT,$500 AND UNDER,APARTMENT,41.729171506,-87.55456177
14122324,JK163313,2026-02-26T19:00:00.000,017XX S STATE ST,THEFT,THEFT FROM MOTOR VEHICLE,STREET,41.858594819,-87.627214427
14122759,JK164040,2026-02-26T19:00:00.000,021XX W PETERSON AVE,THEFT,THEFT FROM MOTOR VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),41.990615196,-87.683188577
14123047,JK163739,2026-02-26T19:00:00.000,043XX S PRAIRIE AVE,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,41.81607864,-87.619776189
14122496,JK163662,2026-02-26T19:00:00.000,051XX S KOLMAR AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.799240241,-87.736808645
14122232,JK163302,2026-02-26T19:00:00.000,025XX W CORTEZ ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.900258118,-87.690313748
14122958,JK164089,2026-02-26T19:00:00.000,043XX S DREXEL BLVD,ASSAULT,SIMPLE,RESIDENCE,41.816048668,-87.604512209
14122165,JK163190,2026-02-26T18:55:00.000,015XX N MILWAUKEE AVE,THEFT,RETAIL THEFT,SMALL RETAIL STORE,41.909909583,-87.676734048
14124741,JK165751,2026-02-26T18:55:00.000,063XX W IRVING PARK RD,THEFT,RETAIL THEFT,GROCERY FOOD STORE,41.952931888,-87.785224325
14122015,JK163148,2026-02-26T18:49:00.000,015XX S HOMAN AVE,THEFT,OVER $500,APARTMENT,41.859973316,-87.710364379
14122000,JK163186,2026-02-26T18:48:00.000,004XX E 91ST ST,THEFT,$500 AND UNDER,RESIDENCE,41.729218166,-87.613041281
14123036,JK163482,2026-02-26T18:45:00.000,004XX E 66th st,THEFT,FROM BUILDING,APARTMENT,41.774800587,-87.614723805
14123067,JK163808,2026-02-26T18:40:00.000,016XX N CLEVELAND AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,41.911780066,-87.641041258
14122048,JK163152,2026-02-26T18:35:00.000,008XX W MARQUETTE RD,ROBBERY,ARMED - HANDGUN,STREET,41.772449111,-87.646185488
14122046,JK163179,2026-02-26T18:34:00.000,040XX W SCHOOL ST,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,41.940873712,-87.727852521
14122727,JK163986,2026-02-26T18:30:00.000,048XX N NEWCASTLE AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,41.969475206,-87.797688068
14122349,JK163460,2026-02-26T18:30:00.000,024XX W 63RD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.779232785,-87.685346466
14122267,JK163387,2026-02-26T18:30:00.000,055XX W HARRISON ST,BATTERY,SIMPLE,APARTMENT,41.87284393,-87.763207078
14122065,JK163162,2026-02-26T18:26:00.000,047XX W IRVING PARK RD,BATTERY,SIMPLE,DEPARTMENT STORE,41.953439027,-87.746258499
14122393,JK163545,2026-02-26T18:26:00.000,027XX S MICHIGAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,41.844052668,-87.623597893
14122032,JK163160,2026-02-26T18:25:00.000,048XX N LINCOLN AVE,THEFT,RETAIL THEFT,DRUG STORE,41.968763818,-87.688661831
14124451,JK166119,2026-02-26T18:25:00.000,047XX N SHERIDAN RD,ASSAULT,SIMPLE,STREET,41.968596206,-87.654815176
14122095,JK163155,2026-02-26T18:20:00.000,008XX W 63RD ST,BATTERY,SIMPLE,RESTAURANT,41.779743198,-87.645227698
14121989,JK163150,2026-02-26T18:20:00.000,135XX S AVENUE M,BURGLARY,FORCIBLE ENTRY,RESIDENCE,41.649710333,-87.537455263
14122023,JK163137,2026-02-26T18:15:00.000,073XX S CARPENTER ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,41.76062688,-87.650361752
